adress,latitude,longitude,contents/0,contents/1,quantity,contents/2,contents/3,contents/4,contents/5,contents/6,contents/7,contents/8,contents/9,contents/10,contents/11,contents/12,contents/13,contents/14,contents/15,contents/16,contents/17,contents/18,contents/19,contents/20,contents/21,contents/22,contents/23,contents/24,contents/25,contents/26,contents/27,contents/28,contents/29,contents/30,contents/31,contents/32,contents/33,contents/34,contents/35,contents/36,contents/37,contents/38,contents/39,contents/40,contents/41,contents/42,contents/43,contents/44,contents/45,contents/46,contents/47,contents/48,contents/49,contents/50,contents/51,contents/52,contents/53,contents/54,contents/55,contents/56,contents/57,contents/58,contents/59,contents/60,contents/61,contents/62,contents/63,contents/64,contents/65,contents/66,contents/67,contents/68,contents/69,contents/70,contents/71,contents/72,contents/73,contents/74,contents/75,contents/76,contents/77,contents/78,contents/79,contents/80,contents/81,contents/82,contents/83,contents/84,contents/85,contents/86,contents/87,contents/88,contents/89,contents/90,contents/91,contents/92,contents/93,contents/94,contents/95,contents/96,contents/97,contents/98,contents/99,contents/100,contents/101,contents/102,contents/103,contents/104,contents/105,contents/106,contents/107,contents/108,contents/109,contents/110,contents/111,contents/112,contents/113,contents/114,contents/115,contents/116,contents/117,contents/118,contents/119
제주특별자치도 서귀포시 안덕면 동광리,33.3151545,126.3426768,하수구에서 물이 넘쳐 대지로 유입. 우수집중유입,도로보다 지대가 낮아 우수집중유입,일부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 안덕면 사계리,33.237032,126.3020597,도로에서 우수가 집중유입되어 침수,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 안덕면 화순리,33.2522985,126.3330875,지대가 낮아 도로에서 우수 유입,지대가 낮아 도로및 주위 높은 지대에서 우수유입,130,지대가 다른 필지에 비해 낮아 우수집중유입,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 남원읍 남원리,33.288528,126.7041357,태풍으로 인한 바닷물유입,태풍으로 인한 바닷물 유입,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 남원읍 신례리,33.299995,126.6297939,파도에 의한 해수유입,지대가 낮아 해수가 해안도로에서 유입,90,본채는 높고 바깥채는 지대가 낮음. 지대가 낮아 우수유입,파도에 의해 해수유입,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 남원읍 위미리,33.3060336,126.6580882,도로보다 지대가 낮으며 태풍으로 인한 출입문 파손으로 해수 유입,해안가로 태풍시 바닷물이 유입,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 남원읍 하례리,33.3420367,126.5884214,지대가 낮아 도로에서 우수가 유입되며 배수시설이 협소함,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 표선면 세화리,33.3255768,126.7999334,지대가 낮아 도로에서 우수 유입,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 성산읍 고성리,33.4445754,126.9095025,도로보다 지대가 낮아 우수 유입,도로보다 지대가 낮아 우수 유입,65,해안가로 파도에 의한 해수 유입,내수침수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주특별자치도 서귀포시 성산읍 성산리,33.4699253,126.932416,도로보다 지대가 많이 낮아 우수 유입,도로보다 지대가 낮아 우수유입,64,도로보다 지대가 낮아 우수 유입,파도에 의해 바닷물이 유입,도로보다 지대가 낮아 유입. 배수시설 협소,도로보다 지대가 낮아 우수 유입,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
